name,team,link
Rilee Rossouw,South Africa,https://www.espncricinfo.com/cricketers/rilee-rossouw-318845
Aiden Markram,South Africa,https://www.espncricinfo.com/cricketers/aiden-markram-600498
Heinrich Klaasen,South Africa,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757
Tristan Stubbs,South Africa,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978
Wayne Parnell,South Africa,https://www.espncricinfo.com/cricketers/wayne-parnell-265564
Kagiso Rabada,South Africa,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215
Anrich Nortje,South Africa,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
Lungi Ngidi,South Africa,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023
Tabraiz Shamsi,South Africa,https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145
Wayne Parnell,South Africa,https://www.espncricinfo.com/cricketers/wayne-parnell-265564
Kagiso Rabada,South Africa,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215
Lungi Ngidi,South Africa,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023
Anrich Nortje,South Africa,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
Tabraiz Shamsi,South Africa,https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145
Shaheen Shah Afridi,Pakistan,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470
Naseem Shah,Pakistan,https://www.espncricinfo.com/cricketers/naseem-shah-1158088
Haris Rauf,Pakistan,https://www.espncricinfo.com/cricketers/haris-rauf-1161606
Mohammad Wasim,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538
Shadab Khan,Pakistan,https://www.espncricinfo.com/cricketers/shadab-khan-922943
Mohammad Nawaz,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148
KL Rahul,India,https://www.espncricinfo.com/cricketers/kl-rahul-422108
Rohit Sharma(c),India,https://www.espncricinfo.com/cricketers/rohit-sharma-34102
Virat Kohli,India,https://www.espncricinfo.com/cricketers/virat-kohli-253802
Suryakumar Yadav,India,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507
Hardik Pandya,India,https://www.espncricinfo.com/cricketers/hardik-pandya-625371
Dinesh Karthik†,India,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045
Axar Patel,India,https://www.espncricinfo.com/cricketers/axar-patel-554691
Ravichandran Ashwin,India,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
Najmul Hossain Shanto,Bangladesh,https://www.espncricinfo.com/cricketers/najmul-hossain-shanto-629058
Litton Das,Bangladesh,https://www.espncricinfo.com/cricketers/litton-das-536936
Shakib Al Hasan(c),Bangladesh,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143
Afif Hossain,Bangladesh,https://www.espncricinfo.com/cricketers/afif-hossain-935995
Yasir Ali,Bangladesh,https://www.espncricinfo.com/cricketers/yasir-ali-629059
Nurul Hasan†,Bangladesh,https://www.espncricinfo.com/cricketers/nurul-hasan-410765
Mosaddek Hossain,Bangladesh,https://www.espncricinfo.com/cricketers/mosaddek-hossain-550133
Taskin Ahmed,Bangladesh,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506
Taskin Ahmed,Bangladesh,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506
Shoriful Islam,Bangladesh,https://www.espncricinfo.com/cricketers/shoriful-islam-990039
Hasan Mahmud,Bangladesh,https://www.espncricinfo.com/cricketers/hasan-mahmud-926629
Mustafizur Rahman,Bangladesh,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902
Shakib Al Hasan,Bangladesh,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143
Bhuvneshwar Kumar,India,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016
Arshdeep Singh,India,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976
Mohammed Shami,India,https://www.espncricinfo.com/cricketers/mohammed-shami-481896
Axar Patel,India,https://www.espncricinfo.com/cricketers/axar-patel-554691
Ravichandran Ashwin,India,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
Hardik Pandya,India,https://www.espncricinfo.com/cricketers/hardik-pandya-625371
Wessly Madhevere,Zimbabwe,https://www.espncricinfo.com/cricketers/wessly-madhevere-938959
Craig Ervine(c),Zimbabwe,https://www.espncricinfo.com/cricketers/craig-ervine-55412
Regis Chakabva†,Zimbabwe,https://www.espncricinfo.com/cricketers/regis-chakabva-293831
Sean Williams,Zimbabwe,https://www.espncricinfo.com/cricketers/sean-williams-55870
Sikandar Raza,Zimbabwe,https://www.espncricinfo.com/cricketers/sikandar-raza-299572
Milton Shumba,Zimbabwe,https://www.espncricinfo.com/cricketers/milton-shumba-951781
Ryan Burl,Zimbabwe,https://www.espncricinfo.com/cricketers/ryan-burl-495964
Luke Jongwe,Zimbabwe,https://www.espncricinfo.com/cricketers/luke-jongwe-541224
